UID          PID    PPID  C STIME TTY          TIME CMD
michael      991     613  0 12:13 ?        00:00:00 /usr/libexec/evolution-source-registry
michael      999     613  0 12:13 ?        00:00:00 /usr/libexec/evolution-calendar-factory
michael     1009     613  0 12:13 ?        00:00:00 /usr/libexec/dconf-service
michael     1014     613  0 12:13 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
root        1032       1  0 12:13 ?        00:00:00 /usr/lib/packagekit/packagekitd
michael     1041     683  0 12:13 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
michael     1049     613  0 12:13 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
michael     1061     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-a11y-settings
michael     1063     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-color
michael     1065     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-datetime
michael     1066     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-housekeeping
michael     1073     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-keyboard
michael     1074     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-media-keys
michael     1075     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-power
michael     1078     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-print-notifications
michael     1080     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-rfkill
michael     1082     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
michael     1084     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-sharing
michael     1088     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-smartcard
michael     1094     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-sound
michael     1095     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-usb-protection
michael     1103     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-wacom
michael     1104     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-wwan
michael     1106     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-xsettings
michael     1122     902  0 12:13 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
michael     1127     902  0 12:13 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
michael     1165     613  0 12:13 ?        00:00:00 /usr/libexec/gsd-printer
colord      1166       1  0 12:13 ?        00:00:00 /usr/libexec/colord
michael     1200     954  0 12:13 ?        00:00:00 /usr/libexec/ibus-engine-simple
michael     1239     613  0 12:14 ?        00:00:02 /usr/libexec/gnome-terminal-server
michael     1247    1239  0 12:14 pts/0    00:00:00 bash
michael     1535     613  0 12:14 ?        00:00:00 /usr/libexec/gvfsd-metadata
michael     1660     902  0 12:14 ?        00:00:00 update-notifier
michael    17079    1247  0 12:21 pts/0    00:00:00 ps -ef
